id,question
8436,What are the two lube formulas you mentioned?
8436,What is the maximum amount of fat I should consume daily?
8436,How many days did it take you to reach a weight of 66 kg?
8436,"Did you triple your intake of something, and what was it?"
8436,Can you tell me more about what else you included in your diet?
23461,Are there additional resources available in AV books?
23461,Can you find more information in the AV books?
23461,Is there extensive reading material on this topic in AV books?
23461,What specific AV books contain more information about this?
23461,Are AV books recommended for further reading on this subject?
2081,Is it common for people to take two naps a day like me?
2081,What is the meaning of sanpaku that was mentioned?
2081,How do I deal with the challenges of being sanpaku?
2081,What reaction did someone have when I asked about sanpaku?
2081,Why might someone think overworking is related to my situation?
16271,What is meant by 'the corona deception' in relation to chemotherapy?
16271,How are people being affected by these deceptions mentioned?
16271,How does Griffith relate to the topic discussed in the conversation?
16271,What role does fever play in the body's response to bacteria?
16271,What happens to bacteria levels when detoxification stops?
48293,What kind of seat are you considering buying for comfort?
48293,Why do you find the taste of lubes to be unpleasant?
48293,What are your thoughts on the sustainability of a high meat diet?
48293,How do people manage a high meat diet while working full-time?
48293,Can you share your experience with maintaining this diet outside of a home environment?
16577,"What were your initial symptoms when starting the diet, specifically regarding night sweats?"
16577,How did you feel about the high meat diet despite understanding it well?
16577,What was Aajonus' plan concerning training students related to his work?
16577,What recent information do you have about E.coli and its relation to high meat?
16577,Can you explain the significance of maintaining E.coli in the colon and how it relates to health?
25476,Has anyone used apple cider vinegar as a detergent?
25476,Will apple cider vinegar cause any stains on clothes?
25476,Is following a primal diet five days a week acceptable?
25476,What are the different ways to consume apple cider vinegar?
25476,Is it safe to drink whey that was left over from making raw cheese?
11780,Are there any effective herbs for treating grey hair?
11780,What are some methods to eliminate grey hair?
11780,Is it true that there are no options available in Ireland for grey hair treatment?
11780,Can grey hair be reversed with natural remedies?
11780,What should I do if I am upset about my grey hair situation?
45515,What are the reasons behind this?
45515,Can you explain the significance of this inquiry?
45515,What prompted you to ask 'Why?'?
45515,Is there a particular context for your question?
45515,How does this relate to my health?
