id,question
608,What makes you say that threatening your family is not acceptable?
608,Why do you feel that someone needs to get a life?
608,Have you experienced any recent threats to your family?
608,What would you consider an appropriate response to someone threatening your family?
608,Have you taken any steps to address these threats towards your family?
1011,Where can I find a thin silk floss that's unwaxed like silk thread?
1011,Is there any reason to be cautious about the composition of the Zahnseide floss?
1011,What is the composition of Yaweco Biodegradable Dental Floss?
1011,"How frequently should I use a dental floss brush, floss, and waterpik?"
1011,What is a traditional way of flossing that helps kill bacteria?
2530,What amount of clay and coconut cream is recommended for making a consistent daily toothpaste?
2530,Why does the user sometimes drink pasteurized milk despite normally drinking raw milk?
2530,What hidden history is mentioned in relation to Pasteur and his theories?
2530,Which ancient civilization is noted for consuming raw fish as a staple in their diet?
2530,What is questioned about Julius Caesar's account in 'Conquest of Gaul' regarding raw meat consumption?
884,What can happen if someone eats raw fish contaminated with Anisakis?
884,Why might raw fish contain Anisakis?
884,Did you experience sickness after eating raw fish with Anisakis?
884,What was your experience after eating raw fish once?
884,How did the Anisakis appear after you ate the raw fish?
3381,What specific details are mentioned about psoralens on the WebMD page?
3381,Where can I find his statement concerning psoriasis on WebMD?
3381,Can you confirm if he mentioned something on autism and oxalates in any book?
3381,What information did he provide regarding oxalates in urine?
3381,Is there a discussion on Q&A about oxalates binding with heavy metals?
310,What was your experience with trying raw milk despite your dairy allergy?
310,How did your body react after consuming a small sip of raw milk?
310,What symptoms did you notice after drinking half a teaspoon of raw milk?
310,Did you manage to calm down after the allergic reaction to raw milk?
310,"Are you wondering if other people in the community, specifically from the Netherlands, have similar experiences with raw milk?"
5028,How does rock salt differ from the sodium found in food according to the chunked content?
5028,What does Aajonus's opinion suggest about rock salt?
5028,What compound is rock salt made from and how is it categorized?
5028,"During the digestion of rock salt, what happens to the sodium ion?"
5028,What is the process described in the chunked content for nutrients from food?
1629,What is the best way to consume honey for cell regeneration according to the conversation?
1629,Is it advisable to eat beef plain without honey or anything for flavor as mentioned in the discussion?
1629,Can anyone recommend a raw and glyphosate-free honey brand available in the US?
1629,"In hot countries where raw milk or blood is unavailable, what is the second-best drink option suggested?"
1629,Why should the bot not be trusted blindly according to the conversation?
3987,What are the specific effects of Mastic gum taste that you mentioned?
3987,Why do you think milk is considered a fat in your diet discussion?
3987,How does the combination of citrus fruit with meat relate to your nutritional concerns?
3987,What is your understanding of iron overload in the context of Paul Saladino's approach?
3987,Can you elaborate on the cravings you experience and how they relate to lemons?
4019,Is feeding my cat organic meat once a month beneficial?
4019,Will eating high amounts of eggs make me a happier person?
4019,Do doctors generally advise against feeding cats raw food?
4019,Is it possible that high meat consumption impacts my mood positively?
4019,Will feeding my cat raw beef twice a week help extend his lifespan?
352,Why is it considered clinically insane to compare the application to anything?
352,How is comparing the application to anything seen as a mockery of value?
352,Does it really matter which type of water we use for health purposes?
352,Is it safe and acceptable to use fresh snow as an alternative to rain water?
352,Is unheated black seed oil considered raw primal approved?
1423,What causes the bitterness in raw cheese?
1423,How can slight bitterness in cheese be pleasant?
1423,What factors prevent excessive bacterial development in cheese?
1423,Why might some people find history of certain schools amusing?
1423,Who is responsible for sponsoring this initiative?
945,What ensures that an egg is suitable for facial use according to Aajonus?
945,What did Aajonus say about the benefits of fermented milk compared to egg and butter?
945,Why is egg considered a good option for shaving cream according to the content?
945,Should I mix papaya juice with clay if I do not have acne scars?
945,Does the mixture of papaya juice and clay have purposes other than treating acne scars?
952,What is the primary benefit of sleeping in clay mud baths?
952,How often should someone sleep in clay mud baths?
952,What is a high meat bath and how is it beneficial?
952,How does a cream bath contribute to skin health?
952,What is the overall effect of alternating different types of baths on skin quality?
2871,Did you feel any effects of hydration when you started consuming the juice?
2871,Have you noticed any change in your craving for meat after drinking the juice?
2871,Did you experience any issues when you did not have green juice for a long time?
2871,Have you tried raw manchego cheese along with your juice regimen when starting out?
2871,Do you believe that consuming raw eggs with green juice is beneficial for detoxifying your body?
3014,Is it necessary to use rennet if taking a small amount of milk and not skimming it?
3014,How does rennet influence the flavor when making cheese?
3014,What might happen if milk clabbers on the window ceiling?
3014,Why is controlling temperature and humidity important in cheesemaking?
3014,What risks are involved in oversitting milk for cheese production?
923,What type of wax is used in the floss that are described as toxic in the record?
923,Where can I find a type of floss that is either coated with beeswax or completely uncoated?
923,What alternative does the record suggest for people who find it hard to get good floss?
923,"Can you describe the mixture process involving coconut cream, lemon juice, and raw apple cider vinegar as mentioned?"
923,How much Gerolsteiner water is needed to mix with the ingredients mentioned in the record?
184,What is the issue with using a 1993 vintage Oster blender for blending?
184,Why is using a plastic jug with a lid similar to the jars in terms of air intake?
184,What is the advantage of using jars instead of plastic containers?
184,How can you reduce air from entering when using a jar lid?
184,"What indicates oxidation in juices, and how can it be measured visually?"
4544,Is it normal for raw butter to only last about 3 days before its taste changes?
4544,Can I ask the supplier to let me pick up raw butter before they freeze it to ensure freshness?
4544,Would it be beneficial to purchase raw butter that is frozen to extend its short lifespan?
4544,Is there a way to maintain the consistency of raw butter so it doesn't change taste after few days?
4544,What are some methods to make a raw cheesecake that look as appealing as the one you described?
1122,Why do people often insist on seeing a live lobster before it's cooked at a restaurant?
1122,Is eating dead lobsters similar to the risks involved with eating dead oysters?
1122,What could happen if someone on a primal diet ate three dead lobsters?
1122,What kind of detox or side effects might someone experience when transitioning to eating high amounts of raw meat?
1122,Have you seen others on the primal diet safely consume mouldy berries and rotten meat?
3527,Is it safe to eat small bones?
3527,Why are you interested in eating bones if you don't want to?
3527,Do all carnivores naturally eat bones?
3527,Do bones include hormones beneficial for health?
3527,Have you had any experience with semen retention and primal health?
3588,What alternatives to bland fruits can support weight loss effectively?
3588,Why do you suggest raising goats and chickens for fresh produce if you live in the countryside?
3588,Is there any credible source discussing Aajonus's egg fast for weight loss?
3588,What material is recommended for the bowl in a cheese press to ensure food safety?
3588,Why might goat cheese be considered superior to cow cheese for homemade cheese makers?
4224,What are the effects of being ¾ blood and ¼ vaxx juice at less than 2 years old?
4224,"What exactly is a mouth vaccine, and how is it different from other vaccines?"
4224,Why did my school days from grade 5 onwards make sense socially based on vaccines?
4224,How could being ahead of the vaccine curve in the mid-90s have impacted my health?
4224,What are effective ways to treat carbon monoxide poisoning according to modern health guidelines?
5031,What sources of raw food provide enough sodium to meet your needs?
5031,How do sodium needs differ between raw and cooked foods?
5031,"Is there sufficient sodium in raw milk, celery juice, tomatoes, and oysters?"
5031,Does Celtic sea salt provide the same benefit as sodium from raw foods?
5031,Can you obtain adequate sodium intake without consuming cooked foods?
4340,Did Aajonus mention any experiments involving live person explosions in his discussions?
4340,Why does freshly killed meat exhibit increased potency according to Aajonus?
4340,Is isolated sodium considered more volatile than nitroglycerin based on Aajonus's statements?
4340,What is Aajonus's stance on scientific knowledge compared to his claims?
4340,What observance was reported by a woman doing raw carnivore in the Philippines regarding meat behavior?
244,What was your starting weight before the transformation?
244,What caused your weight to reach 84kg?
244,What changes led to your weight reaching 92kg?
244,What dietary addition corresponds to the final stage of your transformation?
244,How long did you eat raw chicken and eggs?
4463,How often did you go in before asking about the freshness?
4463,Why did you originally trust that the product was fresh?
4463,What was your reaction after realizing it wasn't fresh?
4463,How did you learn about the recipe you mentioned?
4463,Did someone mention leaving it on for a whole day?
3474,Why might eating too little raw fat leave us with little to no energy?
3474,What does Aajonus suggest about the amount of raw animal fat to consume?
3474,How does consuming raw animal fat relate to handling toxins in the body?
3474,Why is eating raw animal fat considered key to healing according to the content?
3474,What benefits are associated with consuming raw animal fat beyond appetite levels?
139,"Without access to baths or raw cheese, what monthly health symptom might the body experience?"
139,Why might someone turn milk into curd when experiencing vomit?
139,"What is a suggested method to help cure dwarfism, specifically for a person who is 3'1 tall?"
139,What is the perspective on psychological repulsion towards raw meat eating?
139,Why aren’t domesticated dogs considered an example of nature according to the discussion?
5780,Are you asking if you are overweight or underweight?
5780,Is the mention of 'rennet' causing fear among people?
5780,Are you referring to the same Gaia subscription as Regina Meredith?
5780,Does attractive packaging ensure the honey remains unaffected?
5780,Should you consider returning the item if it appears to be an issue?
1513,How do you know when royal jelly will be available?
1513,When does the beekeeper take pre-orders for royal jelly?
1513,How long in advance does the beekeeper make a list for royal jelly?
1513,What time does the beekeeper collect royal jelly from the hive?
1513,How soon after collection does the beekeeper distribute royal jelly?
2864,What happens when you start drinking juice if you're already bogged down without it?
2864,Is the feeling of getting bogged down without juice only temporary?
2864,"What symptoms might occur during heavy detox, such as vomiting?"
2864,What do you currently drink if it's not water or milk?
2864,Should adding tomato to your diet be considered?
5062,Does Aajonus recommend using primal perfume to smell good rather than just neutralizing bad smells?
5062,Is anyone frequently consuming raw chicken as part of following Aajonus's diet recommendations?
5062,Why is it considered better to consume dry cottage cheese compared to regular cottage cheese in Aajonus's diet?
5062,Does consuming cottage cheese with honey ensure getting all the macro nutrients in Aajonus's dietary plan?
5062,"If cottage cheese is not raw, does it digest like any other cooked food according to Aajonus's guidelines?"
1132,What documents did they ask for help finding that explain a certain topic?
1132,Why do they say contagious viruses have never been proven and what has disproven them many times?
1132,What do they suggest doing next time to improve the outcome and what was weird about it coming out grainy?
1132,Why does the user think Aajonus never explained why people can get sick by being around another sick person?
1132,What does the user recall about sleeping in the same bed with a sick partner and what was the result?
3622,What did the Native American Indians teach you about taking psychotropic nutrients?
3622,How did the Native American Indians determine what foods were toxic?
3622,Does blue mold-grown cheese taste similar to goat cheese on pizza?
3622,What is a recommended source to get fresh and raw blue vein cheese?
3622,Is Kaufland a good place to find fresh cheese with pink mold?
4554,Does eating chicken or red meat result in becoming severely underweight?
4554,Do you include anything else besides lean meat in your meals?
4554,Have you experienced unintended weight loss?
4554,Have others lost more fat by eating lots of lean meat rather than not eating?
4554,Are weight loss recipes causing difficulty in achieving goals?
3834,What is the maximum temperature the body should be exposed to in order to avoid damage?
3834,What should be added to municipal water when taking a hot bath to neutralize toxins?
3834,How much raw milk should be added to a municipal hot bath?
3834,What type of salt can be added to municipal hot bath water?
3834,What should be done to rubber hot water bottles before using them?
4349,What causes temporary improvement in eyesight when my eyes are watery?
4349,Is it normal for eyesight to become clearer when eyes water?
4349,What does 'Umfat What do you mean?' refer to?
4349,Why might someone focus on granular details rather than the main point during online conversations?
4349,Is being a little autistic and missing the overall point common among people online?
4588,Are you finding places in Berlin to get good meat and raw milk during your summer visit?
4588,Do you leave the bottle cap open to prevent fruit flies from getting in?
4588,Are you considering living in a cave and hunting your own food?
4588,Do you dislike working a regular job and feel like abandoning modern life?
4588,Are you searching for any primal dieters in Berlin who you can connect with?
5763,What raw organs are claimed to be effective when combined with a healthy lifestyle?
5763,Why might someone find lint on their clothing after washing them?
5763,Is Argiletz considered a good product and did it have any noticeable effect in your experience?
5763,What is the online laundry tip involving the use of two items?
5763,Why does the Primal Diet seem perfect to you despite feeling emotional?
1010,Why is it considered impossible to find a good one?
1010,What is upsetting about not being able to find a good one?
1010,How might someone find a good one if they dig super deep?
1010,What are the pros and cons of buying silk thread and making it yourself?
1010,Why might making it yourself be considered tedious or pointless?
3564,What happens to sodium during digestion of rock salt?
3564,Why is isolated sodium considered more volatile than nitroglycerin?
3564,How does isolated sodium cause harm in the blood?
3564,What occurs when isolated sodium ions form clusters?
3564,Why is using rock salt considered harmful in standard diet practices?
4171,How does temperature affect the flavor of kefir or yogurt?
4171,What ingredient can ensure acidophilus predominates in kefir for a sweeter taste?
4171,How much honey should be added to activate acidophilus for sweetness?
4171,What happens when you add more honey to kefir or yogurt?
4171,Why would someone prefer adding honey to their kefir or yogurt?
4438,How does eating more celery influence the appetite for meat?
4438,What should you do if you're becoming too alkaline from drinking celery?
4438,Why is it important not to pursue volume when celery is used to quench thirst?
