id,question
2617,Can you use raw milk in the bath instead of skim milk?
2617,Did the symptoms lessen gradually after consuming raw milk?
2617,Did you ever try fermented milk and notice a difference in symptoms?
2617,Is drinking too much salted butter or cheese related to piercing headaches?
2617,Were the intense migraines mentioned causing nausea and linked to salted products?
11103,How does body fat protect against toxins in the context of the Aajonus primal diet?
11103,What is considered overweight according to Aajonus rule of thumb for my height and weight?
11103,Should I expect most of the excess weight to be fat if I don't work out?
11103,Are venomous snails harmful if their venom is ingested?
11103,Why does vinegar affect the hydration formula and cause clumping?
8341,Why does the user think allergies might be caused by a mucus deficiency?
8341,What are the user's thoughts on drinking milkshakes as part of their diet?
8341,What non-raw fat sources does the user consider for their diet due to limited raw milk supply?
8341,Why does the user plan to avoid pasteurized dairy products in their diet?
8341,What is the user's experience with cravings for red meat during pregnancy?
3497,What is the recommended intake of meat for muscle growth if switching from red to white meat?
3497,Is it better to reintroduce foods gradually or all at once after a weight loss diet to avoid gaining fat?
3497,Does the creatine content in meat contribute to primal muscle gains without weightlifting?
3497,What should I do for a white tongue besides scraping it off?
3497,Should I leave the lid loose when letting milk sour to make cheese?
11234,"Can I use raw milk as the majority of my calorie intake, or is it too much sugar?"
11234,What is a heat-free method for making cheese at home?
11234,Is it necessary for meat to always be raw to promote oral health?
11234,How often should I brush my teeth if I consume five meals a day?
11234,"What are some recommendations for keeping long hair softer, shinier, and easier to comb?"
10179,How can I tell if my clabbered milk has turned out okay after sitting in a dark cupboard for days and developing thickness?
10179,What are reasons provided for encouraging members to leave the @ukprimal group and join @primaldietUK?
10179,"Can someone provide information on where to find infographics related to primal diet for easy reference, possibly in a downloadable format?"
10179,Is there a place to access primal diet information like Rom's infographics or Lina's iridology infographic?
10179,"Why should people avoid promoting a certain individual in relation to infographics, and what group behavior led to this stance?"
7100,Why is it becoming difficult to follow this chat with the slow chat and 1000 new messages on Telegram?
7100,Who is Kim and is she still following the primal diet?
7100,What is the significance of using a fluoride-free toothpaste in a primal lifestyle?
7100,How did Viltar contribute to this group and why is he no longer active?
7100,Why is listening to Q&A sessions and workshops important in understanding the primal lifestyle?
4572,What options are available for avoiding plastic when purchasing a juicer?
4572,Is the Greenstar Elite juicer recommended and are there other models worth considering?
4572,"How does one manage a diet-induced high urine pH level, especially if resources are limited in France?"
4572,Why do some people not worry about the amount of plastic in juicers despite concerns about pressure?
4572,What are the thoughts on EMFs from WiFi cameras and their impact on health?
11012,How does getting sunlight help in eliminating molds from the body?
11012,Is the celery juice considered essential in the primal health diet?
11012,What is the role of high meat in supporting the nervous system?
11012,Why could burying meat for a month cause it to ferment?
11012,How can I get access to raw milk if interested in trying it?
5082,"What are the potential effects of consuming cooked starches in terms of water retention and weight, and how does this relate to squash consumption?"
5082,"In the chunked content, how is the early training with Aajonus positioned regarding the use of cooked starches?"
5082,What is the advised approach to using starches as part of a healing diet according to the chunked content?
5082,What are the opinions on the nutritional value of squashes such as butternut and acorn as a cooked starch source?
5082,"How does Paul Saladino's dietary approach align with the views expressed in the chunked content on meat, organs, and fruit consumption?"
1264,What causes akathisia in some people related to mental health medications?
1264,Why might some people turn into 'robots' when withdrawing from certain medications?
1264,What are the health risks associated with the higher power type of 5G requiring cells every few meters?
1264,Why is living off-grid considered a better option compared to exposure to technologies like 5G?
1264,"Is it possible to live healthily near 5G with dietary precautions, or does 5G's impact make it impossible?"
4002,What methods have you tried for dealing with anxiety physiologically and mindset related that did not work?
4002,"What disease do you believe Sv3rige is developing, and why is it relevant to the conversation?"
4002,Can you provide evidence to support the claim that experiencing a full range of emotions can lead to diseases?
4002,Why do you think people who call themselves primals but still drink coffee are considered fake?
4002,Could you elaborate on why Sv3rige's behavior is linked to heavy metals and toxicity from his mother?
4012,What vegetables can easily and cheaply be used to feed mealworms?
4012,"Which insect might breed and grow faster than mealworms, making it potentially easier to cultivate?"
4012,What method did Aajonous use to increase cream production in cow's milk?
4012,What are some methods for cultivating maggots to feed chickens?
4012,Why might someone feel nauseous after eating maggots collected from whey left outside?
4267,What is the purpose of using a hot water bottle on the tingling spot or swelling?
4267,How do trans-fatty acids and hydrogenated oils affect the body?
4267,Why is dry brushing not recommended for the skin?
4267,What is the effect of tickling on electrical impulses in the body?
4267,Does cold water exposure help in stimulating circulation and eliminating impurities according to aajonus?
6185,What advice can you offer for relieving pain caused by PD?
6185,How do small mini abscesses relate to skin health and detoxification?
6185,Does drinking more fluids help with the thirst caused by increased PD consumption?
6185,Is experiencing gas a sign of detoxification when following a PD diet?
6185,"What role does dairy, particularly milk and cheese, play in the occurrence of diarrhea during detoxification?"
1721,Why do DHT binaural beats make me feel extremely horny every time I listen to them?
1721,Has anyone tried listening to something for intestines and found it made them defecate?
1721,Can anyone provide before and after pictures as proof of the effectiveness of iridology?
1721,"Is it true that if the liver tastes mild and not bitter, it is considered good and fresh from a farmer?"
1721,Does the exposure of milk to sunlight during fermentation make it taste really bitter instead of sour?
4760,"Is it typical for bee pollen to have a very bitter and metallic taste, or should it not be consumed if it tastes like that?"
4760,Does freezing affect the quality of fruit based on what you've heard AV discussing?
4760,"Do supermarkets in Bulgaria commonly sell raw milk, or was that option only available at a small shop near a food market?"
4760,"What are the differences in health implications between A1 and A2 milk, with A1 being linked to health issues?"
4760,Why did the A2 corporation face legal issues for spreading misinformation about A1 milk causing cancer and other diseases?
10266,What are some toxic minerals I should be aware of?
10266,Is cold showers or baths against Aajonus's recommendations?
10266,What can I add to lemon to improve its effectiveness as a deodorant?
10266,How can I find local meat farmers while traveling to big cities?
10266,Is it a bad idea to eat pineapple with lubricant?
1124,How can I extract collagen and minerals from wild-caught salmon bones without them becoming a soup?
1124,"Is it effective to lightly smash and swallow fish vertebrae, and will they digest properly?"
1124,"Does vinegar really melt fish bones, and is it safe to use in high amounts for bone broth?"
1124,"What does setting on low mean in the context of preparing bone broth, specifically regarding the heat level?"
1124,"What effect does heating bone broths have on minerals, and how does it impact the skin and joints?"
8749,How can you make your stomach tolerate fat better while following the detox?
8749,What strategies can a person use to follow this diet with a full-time job and maintain sleep?
8749,Is consuming wild-caught oysters and fish safe if local sea waters are bad?
8749,What type of food storage solutions are suitable on the go for someone on this diet?
8749,"Why are butchers hesitant to sell organs, and what can be done to obtain them?"
4659,Why does the progression of health worsen with long-term ozone therapy?
4659,How does immediate toxicity affect the body's ability to address existing infections like spinal meningitis?
4659,Why is electric therapy not a suitable treatment model for everyone?
