User,Time,Content
Unknown,Unknown,
Unknown,Unknown,
Unknown,Unknown,
Unknown,Unknown,
Unknown,Unknown,
Unknown,Unknown,
Silmavi,08:02,Hello!
Unknown,Unknown,
Deleted Account,08:05,"sooo, detox finished when? 😄"
Silmavi,08:05,Here we can talk about Aajonus?
Unknown,Unknown,
Deleted Account,08:07,Detox! Hell yeah Aajonus
Silmavi,08:08,
Unknown,08:08,😂😂😂😂
Deleted Account,08:44,"currently recovering from cheat beer and meals, face looks red burned and itchy, fasting for 48h+ and then slowly eating liver and yoghurt. its crazy how well im currently at reading my body needs"
Unknown,08:55,what is aajonos saying about fasting?
Deleted Account,08:56,Not to lol
Unknown,08:57,
Deleted Account,09:00,5h and cell become cannibalistic?
Deleted Account,09:01,I’ve always found that funny
Unknown,09:01,"As in, something doesn’t seem right with that statement"
Deleted Account,09:02,you can go through 36h of fast depleting glycogen stores. And technicaly only after this pont fasting starts.
Deleted Account,09:38,"for me its a tool to rest the digestive system, going through candida die-off and its over 70 toxins beeing released is a lot of work for the liver, kidneys and gut"
Unknown,Unknown,
Silmavi,15:36,Cheese and honey btw meals?
Unknown,15:36,Sounds good
Unknown,15:36,Just cheese is faster
Unknown,15:36,A little
Unknown,15:37,Ok
Deleted Account,15:37,Sounds like eating all day long🤔
Silmavi,15:37,No fasting....
Unknown,15:38,No craving sweet then
Deleted Account,15:39,It depends on type of your metabolism also.
Silmavi,15:40,when you eat it alone?
Unknown,Unknown,
Silmavi,15:42,Good idea to eat it once wuth honey and once alone
Unknown,15:43,My kids eat it with the meal.They aren't at home btw meals
Unknown,15:43,I will do it during week end
Deleted Account,15:44,Yesterday I had nausea after several hours passed from second meal.Today I had zero hunger until 20h+ passed after previous that meal
Unknown,15:45,Today I made only one typical meal enhanced with 4 egg yolks
Unknown,15:46,So they ate clay? Act Charcoal will do the job?
Unknown,15:48,"4,5 h passed I feel neutral, zero hunger and body warmed itself to confort temperature. Before meal I felt colder than normal."
Unknown,15:49,Thx Ring
Silmavi,15:53,So when you have enough fat you feel nausea if you eat it?
Deleted Account,15:57,"So guys, water=bad?"
Silmavi,15:59,I have dry skin even if i drink twice lubrication formula
Unknown,16:07,Is there a limit in drinking lubrication firmula to get some fat?
Deleted Account,17:22,@ubeats1 could you please advice any source/book/literature about detoxification? Besides Aajonuse's books?
Deleted Account,19:08,"Funny, just yesterday I committed myself to eating way more fat. I’ve always had trouble digesting/utilizing (cooked) fat throughout my life. Also had a big problem with alcohol a few years back, very interesting to see Aajonus link those two."
Unknown,19:12,"Had a ton of fat 12 hours ago, don’t even want to think about food right now. Skin is noticeably more hydrated though"
Unknown,19:14,"I’ve had super high fat meals / nights before, just haven’t committed to it for a period of time"
Unknown,19:14,"Not quite, but borderline"
Unknown,Unknown,
Unknown,Unknown,
Unknown,Unknown,
Deleted Account,00:43,Yo what's up fellow primates 🤣
Unknown,00:44,Only 12 here huh
Unknown,00:48,12 clay eaters?
Deleted Account,00:49,12 lubrication formulators
Deleted Account,00:49,Have you experimented much with clay Ring?
Unknown,00:50,12 parasite lovers
Unknown,00:52,I have it a few teaspoons in 800ml
Unknown,00:52,French green
Unknown,00:53,The manufacturing process I have to find out
Unknown,00:57,Frank tufano
Unknown,00:58,Hahaha I no longer watch his videos
Unknown,00:59,As with a lot of other ppl
Unknown,00:59,Just a gateway
Unknown,00:59,to the diet
Deleted Account,03:43,Thx for links and info
Unknown,Unknown,
Silmavi,10:46,Sorry what's WAP?
Unknown,10:47,I will do it too. Love sun
Unknown,10:47,👍
Unknown,10:48,Use a spiritual board
Unknown,10:48,Ouija ....
Unknown,10:49,But you need more than one person
Unknown,10:49,I will take a sin bath today
Unknown,10:49,I fell like
Unknown,10:49,Sun
Unknown,10:50,I live in first floor...no naked
Unknown,10:51,Cold here
Unknown,10:51,I take in my room
Unknown,10:51,Is it ok through window or must i open it?
Unknown,10:52,Ok that's what i supposed.I open it
Unknown,11:00,😂😂😂
Unknown,11:03,By the way how old are you?
Unknown,11:05,When i was 24 internet didnt exist
Unknown,11:05,It was great age.Enjoy it!
Unknown,11:06,Agreed
Unknown,11:06,I like now too
Unknown,11:07,Well i met my husband with 24.
Unknown,11:07,Yes
Unknown,11:08,I had to wait long!😅
